iter	MultiLogloss
0	0.6866769495
1	0.6802430459
2	0.6736882128
3	0.6675910377
4	0.6617377403
5	0.6553580525
6	0.6494931288
7	0.6434743552
8	0.6379555068
9	0.6321128769
10	0.6268935462
11	0.6219387594
12	0.6169447524
13	0.6119919716
14	0.6068651792
15	0.6021352525
16	0.5975539709
17	0.5932076758
18	0.5888612099
19	0.5841956119
20	0.5798702247
21	0.5759275399
22	0.5714789776
23	0.5672909812
24	0.562948378
25	0.5588978176
26	0.5549365845
27	0.550908455
28	0.5471596806
29	0.5437939253
30	0.5404066488
31	0.537122253
32	0.5338179126
33	0.5304388225
34	0.5273802062
35	0.5239265984
36	0.5206295103
37	0.5174253125
38	0.5143572177
39	0.5115753888
40	0.5088998877
41	0.5062727046
42	0.503455891
43	0.5005963819
44	0.4979740111
45	0.4952737642
46	0.4928692825
47	0.4902113584
48	0.4875234538
49	0.4852736059
50	0.4829171684
51	0.480811698
52	0.4784188177
53	0.4760216087
54	0.4736579204
55	0.4713455778
56	0.4693877131
57	0.4674493638
58	0.4654601761
59	0.4633353418
60	0.4614431039
61	0.4594871699
62	0.4576479767
63	0.4558559829
64	0.4538740671
65	0.4519227686
66	0.4500432751
67	0.4484391446
68	0.4468995355
69	0.4450600211
70	0.4433422425
71	0.4415981368
72	0.4398980388
73	0.4381878723
74	0.4365566477
75	0.4349161341
76	0.4335175699
77	0.4319518208
78	0.4305547025
79	0.4290441983
80	0.4276065087
81	0.426173037
82	0.4249436392
83	0.4236095799
84	0.4222290296
85	0.4208054952
86	0.4195972631
87	0.4182631026
88	0.4171498665
89	0.4158725147
90	0.4147908265
91	0.4134811459
92	0.4122384432
93	0.4110029218
94	0.4098353927
95	0.4087407907
96	0.4075521045
97	0.4064381742
98	0.4054477018
99	0.4043947752
