iter	Passed	Remaining
0	167	16554
1	172	8464
2	181	5883
3	187	4509
4	198	3762
5	202	3165
6	210	2801
7	217	2500
8	227	2296
9	233	2098
10	243	1968
11	248	1824
12	260	1741
13	266	1635
14	278	1579
15	292	1535
16	304	1488
17	317	1446
18	340	1451
19	352	1411
20	369	1390
21	388	1377
22	403	1350
23	421	1334
24	426	1279
25	441	1255
26	448	1212
27	459	1181
28	472	1156
29	485	1131
30	491	1094
31	503	1070
32	517	1050
33	522	1014
34	529	984
35	535	952
36	546	930
37	560	913
38	566	886
39	575	863
40	582	838
41	591	816
42	604	801
43	609	775
44	620	758
45	628	738
46	636	717
47	643	697
48	652	679
49	660	660
50	668	642
51	681	628
52	687	609
53	697	594
54	709	580
55	715	561
56	726	547
57	731	529
58	742	516
59	750	500
60	759	485
61	770	472
62	776	456
63	790	444
64	806	434
65	817	421
66	821	404
67	832	391
68	837	376
69	850	364
70	855	349
71	868	337
72	877	324
73	885	311
74	896	298
75	908	287
76	914	273
77	939	265
78	947	251
79	956	239
80	966	226
81	972	213
82	984	201
83	989	188
84	1002	176
85	1014	165
86	1021	152
87	1033	140
88	1045	129
89	1051	116
90	1063	105
91	1076	93
92	1090	82
93	1096	69
94	1108	58
95	1119	46
96	1130	34
97	1140	23
98	1151	11
99	1157	0
